distname,year,land_area,pop_urban_lin_proj,pop_total_lin_proj,pop_urban_census,pop_total_census,
Bagerhat,2012,3959.11,213734.8797,1478831.998,195331,1461000,
Bandarban,2012,4479.01,109535.6289,393138.6296,100423,383000,
Barguna,2012,1831.31,115393.9618,896209.7911,103094,882000,
Barisal,2012,2784.52,544748.1121,2322895.731,519016,2291000,
Bhola,2012,3403.48,271313.9699,1778583.725,243317,1758000,
Bogra,2012,2898.68,699703.6848,3413383.711,670388,3371000,
Brahamanbaria,2012,1881.21,471737.3762,2861523.39,448493,2808000,
Chandpur,2012,1645.32,460958.3502,2421649.848,435724,2393000,
Chittagong,2012,5282.92,3324363.163,7684220.732,3152629,7509000,
Chuadanga,2012,1174.1,306567.1155,1136199.455,306157,1123000,
Cox'S Bazar,2012,2491.85,569120.9199,2332110.49,499011,2275000,
Comilla,2012,3146.3,883001.1062,5401846.016,840326,5304000,
Dhaka,2012,1463.61,9523593.646,12175091.07,9317043,11875000,
Dinajpur,2012,3444.3,471912.2815,3009582.733,453699,2970000,
Faridpur,2012,2052.87,294838.936,1899312.011,271100,1867000,
Feni,2012,990.36,312955.3877,1444970.958,293742,1420000,
Gaibandha,2012,2114.77,228561.1227,2374207.989,210524,2349000,
Gazipur,2012,1806.37,1260710.805,3522719.457,1037574,3333000,
Gopalganj,2012,1468.74,141334.3074,1165504.676,128705,1149000,
Habiganj,2012,2636.59,255983.0748,2092019.445,244966,2059000,
Jamalpur,2012,2115.16,413658.3743,2292597.937,387869,2265000,
Jessore,2012,2606.94,534309.6313,2779753.668,513552,2742000,
Jhalokati,2012,706.77,119107.1656,603592.1644,112003,596000,
Jhenaidah,2012,1964.77,294437.3173,1783700.068,280192,1756000,
Joypurhat,2012,1012.42,151873.0891,915700.5474,143910,909000,
Khagrachhari,2012,2749.16,224171.8338,619510.8516,215808,608000,
Khulna,2012,4394.45,807014.6681,2329803.498,777588,2294000,
Kishoreganj,2012,2688.59,528644.7188,2898920.463,489030,2853000,
Kurigram,2012,2245.04,344310.9634,2081117.589,326494,2050000,
Kushtia,2012,1608.8,257011.6708,1958058.522,235526,1933000,
Lakshmipur,2012,1440.4,284382.7226,1736513.532,262997,1711000,
Lalmonirhat,2012,1247.37,144835.3879,1268830.958,129209,1249000,
Madaripur,2012,1125.69,173065.6277,1165330.413,157810,1149000,
Magura,2012,1039.1,127796.1247,926482.3097,120414,913000,
Manikganj,2012,1383.66,138622.4518,1399097.094,128710,1379000,
Maulvibazar,2012,2799.38,103709.7674,1927292.098,83393,1902000,
Meherpur,2012,751.63,204081.0536,658613.0512,208079,652000,
Munshiganj,2012,1004.29,196785.9558,1442661.214,186106,1420000,
Mymensingh,2012,4394.57,852397.9819,5134508.271,798127,5042000,
Naogaon,2012,3435.65,289601.5616,2601719.466,275567,2576000,
Narail,2012,967.99,118532.0864,723638.9324,112352,715000,
Narayanganj,2012,684.37,1047789.734,2999208.181,988956,2897000,
Narsingdi,2012,1150.14,467405.0407,2243230.915,447645,2202000,
Natore,2012,1900.19,240758.741,1715497.762,228008,1696000,
Nawabganj,2012,1702.55,335037.8733,1657860.006,320278,1635000,
Netrakona,2012,2794.29,258468.4156,2223305.592,247183,2207000,
Nilphamari,2012,1546.6,313423.9608,1850041.334,289974,1820000,
Noakhali,2012,3685.87,512812.7488,3131231.058,496700,3072000,
Pabna,2012,2376.13,412575.949,2541778.771,387675,2497000,
Panchagarh,2012,1404.62,104322.7494,1001982.671,95149,981000,
Patuakhali,2012,3221.31,213722.1961,1540372.788,201882,1517000,
Pirojpur,2012,1277.8,188494.5497,1114621.249,182631,1103000,
Rajbari,2012,1092.28,140552.8911,1056528.897,136042,1040000,
Rajshahi,2012,2425.37,879728.9205,2611566.093,854619,2573000,
Rangamati,2012,6116.1,174028.6737,602387.4763,159627,596000,
Rangpur,2012,2400.56,499315.9006,2901703.635,442713,2866000,
Satkhira,2012,3817.29,220202.2651,1998750.243,197616,1973000,
Shariatpur,2012,1174.06,148175.5912,1162732.508,131044,1146000,
Sherpur,2012,1364.67,205747.9305,1353014.814,188106,1334000,
Sirajganj,2012,2402.06,460730.6482,3106278.145,436577,3072000,
Sunamganj,2012,3747.17,270579.1027,2472499.605,256117,2443000,
Sylhet,2012,3452.07,780033.8811,3454652.334,753549,3404000,
Tangail,2012,3414.34,580028.5632,3623458.601,543785,3571000,
Thakurgaon,2012,1781.74,173393.2264,1397753.921,161309,1380000,
Bagerhat,2022,3959.11,397773.6768,1657151.976,397773.6768,1657151.976,
Bandarban,2022,4479.01,200661.9174,494524.9261,200661.9174,494524.9261,
Barguna,2022,1831.31,238393.5801,1038307.702,238393.5801,1038307.702,
Barisal,2022,2784.52,802069.2326,2641853.038,802069.2326,2641853.038,
